iter	Passed	Remaining
0	0	530
1	1	511
2	1	480
3	1	461
4	2	455
5	2	444
6	3	446
7	3	444
8	4	441
9	4	436
10	4	439
11	5	437
12	5	441
13	6	444
14	6	443
15	7	442
16	7	438
17	7	436
18	8	434
19	8	433
20	9	430
21	9	430
22	10	427
23	10	427
24	10	425
25	11	424
26	11	429
27	12	428
28	12	425
29	13	423
30	13	421
31	13	419
32	14	417
33	14	416
34	15	415
35	15	414
36	15	412
37	16	411
38	16	410
39	17	409
40	17	408
41	17	408
42	18	408
43	18	408
44	19	408
45	19	408
46	20	407
47	20	407
48	21	408
49	21	407
50	21	407
51	22	406
52	22	407
53	23	406
54	23	406
55	24	406
56	24	406
57	24	405
58	25	406
59	25	405
60	26	404
61	26	403
62	27	403
63	27	403
64	27	402
65	28	401
66	28	400
67	29	397
68	29	397
69	29	396
70	30	396
71	30	395
72	31	395
73	31	395
74	31	394
75	32	394
76	32	394
77	33	393
78	33	394
79	34	393
80	34	392
81	35	392
82	35	392
83	35	392
84	36	390
85	36	389
86	36	387
87	37	387
88	37	387
89	38	386
90	38	386
91	39	386
92	39	385
93	40	385
94	40	385
95	40	384
96	41	384
97	41	384
98	42	384
99	42	383
100	43	383
101	43	381
102	43	381
103	44	380
104	44	380
105	45	380
106	45	379
107	45	379
108	46	379
109	46	378
110	47	378
111	47	378
112	48	378
113	48	378
114	49	378
115	49	377
116	49	376
117	50	376
118	50	375
119	51	375
120	51	374
121	51	373
122	52	372
123	52	371
124	52	370
125	53	370
126	53	369
127	54	368
128	54	368
129	54	367
130	55	367
131	55	367
132	56	366
133	56	366
134	57	366
135	57	366
136	58	365
137	58	364
138	58	364
139	59	363
140	59	363
141	60	363
142	60	362
143	60	362
144	61	362
145	61	361
146	62	361
147	62	360
148	63	360
149	63	359
150	63	359
151	64	358
152	64	358
153	65	357
154	65	357
155	65	356
156	66	356
157	66	356
158	67	355
159	67	355
160	68	354
161	68	354
162	68	353
163	69	353
164	69	352
165	70	352
166	70	351
167	70	351
168	71	350
169	71	350
170	72	350
171	72	349
172	73	349
173	73	348
174	73	348
175	74	348
176	74	347
177	75	347
178	75	346
179	75	345
180	76	344
181	76	343
182	76	343
183	77	343
184	77	342
185	78	342
186	78	341
187	78	340
188	79	340
189	79	339
190	80	339
191	80	338
192	80	338
193	81	337
194	81	337
195	82	336
196	82	336
197	82	335
198	83	335
199	83	335
200	84	334
201	84	334
202	84	333
203	85	333
204	85	332
205	86	331
206	86	331
207	86	331
208	87	330
209	87	330
210	88	329
211	88	329
212	89	329
213	89	328
214	89	328
215	90	327
216	90	327
217	91	326
218	91	326
219	91	325
220	92	325
221	92	325
222	93	324
223	93	324
224	94	323
225	94	323
226	94	323
227	95	322
228	95	322
229	96	321
230	96	321
231	96	321
232	97	320
233	97	320
234	98	319
235	98	319
236	99	319
237	99	318
238	100	318
239	100	318
240	100	317
241	101	317
242	101	316
243	102	316
244	102	315
245	102	315
246	103	315
247	103	314
248	104	314
249	104	313
250	105	313
251	105	312
252	105	312
253	106	312
254	106	312
255	107	311
256	107	311
257	108	311
258	108	311
259	109	310
260	109	310
261	110	309
262	110	309
263	110	309
264	111	308
265	111	308
266	112	307
267	112	307
268	113	307
269	113	306
270	113	306
271	114	305
272	114	305
273	115	304
274	115	304
275	115	303
276	116	303
277	116	303
278	117	302
279	117	302
280	117	301
281	118	301
282	118	300
283	119	300
284	119	299
285	119	299
286	120	298
287	120	298
288	121	298
289	121	297
290	122	297
291	122	297
292	123	296
293	123	296
294	124	296
295	124	295
296	124	295
297	125	295
298	125	294
299	126	294
300	126	293
301	126	293
302	127	293
303	127	292
304	128	292
305	128	291
306	129	291
307	129	290
308	129	290
309	130	289
310	130	289
311	131	288
312	131	288
313	131	287
314	132	287
315	132	287
316	133	286
317	133	286
318	133	285
319	134	285
320	134	284
321	135	284
322	135	283
323	135	283
324	136	283
325	136	282
326	137	282
327	137	281
328	137	281
329	138	280
330	138	280
331	139	279
332	139	279
333	139	278
334	140	278
335	140	278
336	141	277
337	141	277
338	142	276
339	142	276
340	142	276
341	143	275
342	143	275
343	144	274
344	144	274
345	145	274
346	145	273
347	145	273
348	146	272
349	146	272
350	146	271
351	147	271
352	147	270
353	148	270
354	148	270
355	149	269
356	149	269
357	149	268
358	150	268
359	150	268
360	151	267
361	151	267
362	152	266
363	152	266
364	152	266
365	153	265
366	153	265
367	154	264
368	154	264
369	154	263
370	155	263
371	155	262
372	156	262
373	156	262
374	156	261
375	157	261
376	157	260
377	158	260
378	158	260
379	159	259
380	159	259
381	159	258
382	160	258
383	160	257
384	161	257
385	161	257
386	162	256
387	162	256
388	162	255
389	163	255
390	163	254
391	164	254
392	164	253
393	164	253
394	165	253
395	165	252
396	166	252
397	166	251
398	166	251
399	167	251
400	167	250
401	168	250
402	168	249
403	168	249
404	169	248
405	169	248
406	170	247
407	170	247
408	170	247
409	171	246
410	171	246
411	172	245
412	172	245
413	173	245
414	173	244
415	173	244
416	174	243
417	174	243
418	175	242
419	175	242
420	176	242
421	176	241
422	176	241
423	177	240
424	177	240
425	178	240
426	178	239
427	179	239
428	179	238
429	179	238
430	180	238
431	180	237
432	181	237
433	181	236
434	181	236
435	182	235
436	182	235
437	183	234
438	183	234
439	183	234
440	184	233
441	184	233
442	185	232
443	185	232
444	186	232
445	186	231
446	186	231
447	187	230
448	187	230
449	188	229
450	188	229
451	188	228
452	189	228
453	189	228
454	190	227
455	190	227
456	190	226
457	191	226
458	191	225
459	192	225
460	192	225
461	192	224
462	193	224
463	193	223
464	194	223
465	194	222
466	194	222
467	195	222
468	195	221
469	196	221
470	196	220
471	196	220
472	197	219
473	197	219
474	198	219
475	198	218
476	199	218
477	199	217
478	199	217
479	200	216
480	200	216
481	201	216
482	201	215
483	201	215
484	202	214
485	202	214
486	203	213
487	203	213
488	203	213
489	204	212
490	204	212
491	205	211
492	205	211
493	206	211
494	206	210
495	206	210
496	207	209
497	207	209
498	208	208
499	208	208
500	208	208
501	209	207
502	209	207
503	210	206
504	210	206
505	210	205
506	211	205
507	211	205
508	212	204
509	212	204
510	213	203
511	213	203
512	213	203
513	214	202
514	214	202
515	215	201
516	215	201
517	215	200
518	216	200
519	216	200
520	217	199
521	217	199
522	218	198
523	218	198
524	218	197
525	219	197
526	219	197
527	220	196
528	220	196
529	220	195
530	221	195
531	221	195
532	222	194
533	222	194
534	222	193
535	223	193
536	223	192
537	224	192
538	224	191
539	224	191
540	225	191
541	225	190
542	226	190
543	226	189
544	226	189
545	227	189
546	227	188
547	228	188
548	228	187
549	229	187
550	229	186
551	229	186
552	230	186
553	230	185
554	231	185
555	231	184
556	231	184
557	232	184
558	232	183
559	233	183
560	233	182
561	233	182
562	234	181
563	234	181
564	235	181
565	235	180
566	236	180
567	236	179
568	236	179
569	237	179
570	237	178
571	238	178
572	238	177
573	238	177
574	239	176
575	239	176
576	240	176
577	240	175
578	240	175
579	241	174
580	241	174
581	242	173
582	242	173
583	242	173
584	243	172
585	243	172
586	244	171
587	244	171
588	245	170
589	245	170
590	245	170
591	246	169
592	246	169
593	247	168
594	247	168
595	247	168
596	248	167
597	248	167
598	249	166
599	249	166
600	249	165
601	250	165
602	250	165
603	251	164
604	251	164
605	251	163
606	252	163
607	252	162
608	253	162
609	253	162
610	254	161
611	254	161
612	254	160
613	255	160
614	255	160
615	256	159
616	256	159
617	257	158
618	257	158
619	257	158
620	258	157
621	258	157
622	259	156
623	259	156
624	260	156
625	260	155
626	260	155
627	261	154
628	261	154
629	262	153
630	262	153
631	262	153
632	263	152
633	263	152
634	264	151
635	264	151
636	264	150
637	265	150
638	265	150
639	266	149
640	266	149
641	267	148
642	267	148
643	267	148
644	268	147
645	268	147
646	269	146
647	269	146
648	269	146
649	270	145
650	270	145
651	271	144
652	271	144
653	271	143
654	272	143
655	272	143
656	273	142
657	273	142
658	274	141
659	274	141
660	275	141
661	275	140
662	275	140
663	276	139
664	276	139
665	277	138
666	277	138
667	277	138
668	278	137
669	278	137
670	279	136
671	279	136
672	279	135
673	280	135
674	280	135
675	281	134
676	281	134
677	281	133
678	282	133
679	282	132
680	282	132
681	283	132
682	283	131
683	284	131
684	284	130
685	284	130
686	285	129
687	285	129
688	286	129
689	286	128
690	287	128
691	287	127
692	287	127
693	288	127
694	288	126
695	289	126
696	289	125
697	290	125
698	290	125
699	290	124
700	291	124
701	291	123
702	292	123
703	292	123
704	293	122
705	293	122
706	293	121
707	294	121
708	294	120
709	295	120
710	295	120
711	295	119
712	296	119
713	296	118
714	297	118
715	297	118
716	298	117
717	298	117
718	298	116
719	299	116
720	299	115
721	300	115
722	300	115
723	300	114
724	301	114
725	301	113
726	302	113
727	302	112
728	302	112
729	303	112
730	303	111
731	304	111
732	304	110
733	305	110
734	305	110
735	305	109
736	306	109
737	306	108
738	307	108
739	307	108
740	307	107
741	308	107
742	308	106
743	309	106
744	309	105
745	310	105
746	310	105
747	310	104
748	311	104
749	311	103
750	312	103
751	312	103
752	312	102
753	313	102
754	313	101
755	314	101
756	314	100
757	314	100
758	315	100
759	315	99
760	316	99
761	316	98
762	316	98
763	317	98
764	317	97
765	318	97
766	318	96
767	318	96
768	319	95
769	319	95
770	320	95
771	320	94
772	321	94
773	321	93
774	321	93
775	322	93
776	322	92
777	323	92
778	323	91
779	323	91
780	324	90
781	324	90
782	325	90
783	325	89
784	325	89
785	326	88
786	326	88
787	327	88
788	327	87
789	328	87
790	328	86
791	329	86
792	329	85
793	329	85
794	330	85
795	330	84
796	331	84
797	331	83
798	331	83
799	332	83
800	332	82
801	333	82
802	333	81
803	333	81
804	334	80
805	334	80
806	335	80
807	335	79
808	336	79
809	336	78
810	336	78
811	337	78
812	337	77
813	338	77
814	338	76
815	338	76
816	339	76
817	339	75
818	340	75
819	340	74
820	340	74
821	341	73
822	341	73
823	342	73
824	342	72
825	343	72
826	343	71
827	343	71
828	344	71
829	344	70
830	345	70
831	345	69
832	345	69
833	346	68
834	346	68
835	347	68
836	347	67
837	347	67
838	348	66
839	348	66
840	349	66
841	349	65
842	349	65
843	350	64
844	350	64
845	351	63
846	351	63
847	352	63
848	352	62
849	353	62
850	353	61
851	354	61
852	354	61
853	355	60
854	355	60
855	355	59
856	356	59
857	356	59
858	357	58
859	357	58
860	358	57
861	358	57
862	358	56
863	359	56
864	359	56
865	360	55
866	360	55
867	361	54
868	361	54
869	361	54
870	362	53
871	362	53
872	363	52
873	363	52
874	363	51
875	364	51
876	364	51
877	365	50
878	365	50
879	366	49
880	366	49
881	366	49
882	367	48
883	367	48
884	368	47
885	368	47
886	368	47
887	369	46
888	369	46
889	370	45
890	370	45
891	370	44
892	371	44
893	371	44
894	372	43
895	372	43
896	373	42
897	373	42
898	373	42
899	374	41
900	374	41
901	375	40
902	375	40
903	376	39
904	376	39
905	376	39
906	377	38
907	377	38
908	378	37
909	378	37
910	378	37
911	379	36
912	379	36
913	380	35
914	380	35
915	381	34
916	381	34
917	381	34
918	382	33
919	382	33
920	383	32
921	383	32
922	384	32
923	384	31
924	384	31
925	385	30
926	385	30
927	386	29
928	386	29
929	386	29
930	387	28
931	387	28
932	388	27
933	388	27
934	388	27
935	389	26
936	389	26
937	390	25
938	390	25
939	390	24
940	391	24
941	391	24
942	391	23
943	392	23
944	392	22
945	393	22
946	393	22
947	393	21
948	394	21
949	394	20
950	395	20
951	395	19
952	395	19
953	396	19
954	396	18
955	397	18
956	397	17
957	397	17
958	398	17
959	398	16
960	399	16
961	399	15
962	399	15
963	400	14
964	400	14
965	400	14
966	401	13
967	401	13
968	402	12
969	402	12
970	402	12
971	403	11
972	403	11
973	403	10
974	404	10
975	404	9
976	405	9
977	405	9
978	405	8
979	406	8
980	406	7
981	406	7
982	407	7
983	407	6
984	408	6
985	408	5
986	408	5
987	409	4
988	409	4
989	410	4
990	410	3
991	410	3
992	411	2
993	411	2
994	411	2
995	412	1
996	412	1
997	413	0
998	413	0
999	413	0
