iter	Passed	Remaining
0	145	145151
1	146	72983
2	147	48871
3	148	37023
4	149	29749
5	149	24835
6	152	21581
7	154	19181
8	157	17351
9	159	15800
10	161	14536
11	163	13468
12	165	12536
13	166	11726
14	167	11021
15	168	10393
16	169	9823
17	170	9312
18	171	8862
19	172	8456
20	173	8082
21	174	7742
22	174	7432
23	175	7143
24	176	6875
25	176	6628
26	177	6405
27	178	6194
28	179	5996
29	179	5811
30	180	5639
31	181	5479
32	181	5330
33	182	5185
34	183	5049
35	183	4925
36	184	4801
37	184	4683
38	185	4570
39	185	4462
40	186	4361
41	186	4264
42	187	4171
43	187	4080
44	188	3994
45	188	3912
46	189	3835
47	189	3759
48	190	3687
49	190	3618
50	190	3550
51	191	3485
52	191	3424
53	192	3366
54	192	3311
55	193	3257
56	193	3204
57	194	3153
58	194	3104
59	195	3057
60	195	3010
61	196	2965
62	196	2921
63	196	2878
64	197	2836
65	197	2796
66	197	2756
67	198	2718
68	198	2681
69	199	2645
70	199	2610
71	199	2576
72	200	2542
73	200	2510
74	201	2479
75	201	2449
76	201	2419
77	202	2390
78	202	2362
79	203	2334
80	203	2307
81	203	2280
82	203	2252
83	204	2227
84	204	2203
85	205	2179
86	205	2156
87	205	2133
88	206	2110
89	206	2088
90	206	2067
91	207	2047
92	207	2026
93	208	2007
94	208	1987
95	208	1967
96	209	1948
97	209	1930
98	210	1912
99	210	1894
100	210	1876
101	211	1859
102	211	1842
103	212	1826
104	212	1810
105	212	1794
106	213	1778
107	213	1763
108	213	1749
109	214	1734
110	214	1720
111	215	1705
112	215	1692
113	215	1678
114	216	1664
115	216	1651
116	216	1637
117	217	1625
118	217	1612
119	218	1600
120	218	1587
121	218	1575
122	219	1563
123	219	1551
124	220	1540
125	220	1529
126	220	1518
127	221	1506
128	221	1496
129	222	1485
130	222	1475
131	222	1465
132	223	1455
133	223	1445
134	224	1435
135	224	1425
136	224	1416
137	225	1407
138	225	1398
139	226	1389
140	226	1380
141	226	1371
142	227	1362
143	227	1353
144	228	1345
145	228	1337
146	229	1328
147	229	1320
148	229	1312
149	230	1304
150	230	1297
151	231	1289
152	231	1281
153	231	1273
154	232	1266
155	232	1259
156	233	1252
157	233	1245
158	234	1238
159	234	1231
160	234	1223
161	235	1217
162	235	1210
163	236	1203
164	236	1197
165	237	1190
166	237	1184
167	237	1177
168	238	1171
169	238	1165
170	239	1159
171	239	1153
172	239	1147
173	240	1141
174	240	1135
175	241	1129
176	241	1123
177	241	1117
178	242	1111
179	242	1106
180	243	1101
181	243	1095
182	244	1090
183	244	1084
184	244	1079
185	245	1074
186	245	1069
187	246	1064
188	246	1059
189	247	1054
190	247	1049
191	248	1043
192	248	1039
193	248	1034
194	249	1029
195	249	1024
196	250	1019
197	250	1015
198	251	1010
199	251	1005
200	252	1001
201	252	997
202	252	993
203	253	988
204	253	984
205	254	979
206	254	975
207	254	970
208	255	966
209	255	962
210	256	958
211	256	953
212	256	949
213	257	945
214	257	941
215	258	938
216	258	933
217	259	929
218	259	925
219	259	921
220	260	917
221	260	913
222	261	909
223	261	905
224	261	901
225	262	897
226	262	894
227	262	890
228	263	886
229	263	882
230	264	879
231	264	875
232	265	872
233	265	868
234	265	865
235	266	861
236	266	858
237	266	854
238	267	850
239	267	847
240	268	844
241	268	840
242	268	837
243	269	834
244	269	830
245	270	827
246	270	824
247	270	821
248	271	818
249	271	814
250	271	811
251	272	808
252	272	805
253	273	802
254	273	798
255	273	795
256	274	792
257	274	789
258	275	786
259	275	783
260	275	780
261	276	778
262	276	775
263	276	772
264	277	769
265	277	766
266	278	763
267	278	760
268	278	758
269	279	755
270	279	752
271	280	750
272	280	747
273	281	745
274	281	742
275	282	740
276	282	737
277	282	734
278	283	732
279	283	729
280	284	727
281	284	724
282	284	721
283	285	719
284	285	716
285	285	713
286	286	711
287	286	709
288	287	706
289	287	704
290	288	701
291	288	699
292	288	697
293	289	694
294	289	692
295	290	690
296	290	687
297	291	685
298	291	683
299	291	681
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
